
		/////////////////////////////////////////////////////////////////////////////////////////////////
        //                                                                                             //
        //      Need Help? The Trader Mod has its own Channel on the DayZ Modders Discord Server!      //
        //                                                                                             //
        //      Only Singleline Comments work. Don't use Multiline Comments!                           //
        //      /* THIS COMMENT WILL CRASH THE SERVER! */                                              //
        //      // THIS COMMENT WORKS!                                                                 //
        //                                                                                             //
        /////////////////////////////////////////////////////////////////////////////////////////////////

<CurrencyName> #tm_ruble							// Currency Name (Only used for the Text in the upper right Corner of the Trader Menu)
	<Currency> MoneyRuble1, 	1					// Currency Classname, Currency Money Value
	<Currency> MoneyRuble5, 	5
	<Currency> MoneyRuble10, 	10
	<Currency> MoneyRuble25, 	25
	<Currency> MoneyRuble50, 	50
	<Currency> MoneyRuble100, 	100

// --------------------------------------------------
<Trader> Medical  Trader 0//0
	    CJ_Falcon3_Radio,              *,   2000,   -5
	   ------------------------------------------------------------, *, -1, -1		
	    CJ_Motorola_T80_Yellow,         *,    1100,   -5
	    CJ_Motorola_T80_Red,            *,    1100,   -5
	    CJ_Motorola_T80_Blue,           *,    1100,   -5
	    CJ_Motorola_T80_Green,          *,    1100,   -5
	    CJ_Motorola_T80_Lime,           *,    1100,   -5
	    CJ_Motorola_T80_Grey,           *,    1100,   -5
	   ------------------------------------------------------------, *, -1, -1		
	    CJ_TacSatRadio_Black,           *,   1500,    -5
	    CJ_TacSatRadio_Green,           *,   1500,    -5
	    CJ_TacSatRadio_Tan,             *,   1500,    -5
	   ------------------------------------------------------------, *, -1, -1		
	    CJ_SamSplint,                   *,   900,   -5
	   ------------------------------------------------------------, *, -1, -1		
	    CJ_Screwdriver_Red,             *,   680,   -5
	   ------------------------------------------------------------, *, -1, -1		
	    CJ_Toiletpaper,                 *,   25,   -5
	   ------------------------------------------------------------, *, -1, -1		
	    CJ_ToolsRepairKit,              *,   1100, -5
	   ------------------------------------------------------------, *, -1, -1		
	    CJ_WD40_Large,                  *,   250,  -5
	    CJ_WD40_Small,                  *,   250,  -5
	   ------------------------------------------------------------, *, -1, -1		
	    CJ_Tireglue,                     *,  100,   -5
	   ------------------------------------------------------------, *, -1, -1		
	    CJ_GasBottle,                    *,  500,   -5
	   ------------------------------------------------------------, *, -1, -1		
	    CJ_Sewingspool_Red,              *,    150,    -5
	    CJ_Sewingspool_Blue,             *,    150,    -5
	    CJ_Sewingspool_Green,            *,    150,    -5
	   ------------------------------------------------------------, *, -1, -1		
	    CJ_Isospray,                     *,    250,   -5
	   ------------------------------------------------------------, *, -1, -1			
	    CJ_IsoTape,                      *,    300,   -5
	   ------------------------------------------------------------, *, -1, -1		
    	CJ_Weaponoil,                    *,    160, -5

// --------------------------------------------------
<Trader>  Blackouts Scorpion  7//7

	<Category> Blackouts Scorpion
	
		vg7_scorpion,           			VNK,  	280000, 140000
		vg7_scorpion_easyrider,           	VNK,  	300000, 150000
		vg7_scorpion_scorcher,           	VNK,  	300000, 150000
		vg7_scorpion_mermaid,           	VNK,  	300000, 150000
		vg7_scorpion_butterfly,           	VNK,  	300000, 150000
	   ------------------------------------------------------------, *, -1, -1				
		vg7_scorpion_radiator,				*,		5000,	2500
		vg7_scorpion_wheel_front,			*,		5000,	2500
		vg7_scorpion_wheel_rear,			*,		5000,	2500
		vg7_scorpion_drybag,				*,		3000,	1500
		vg7_scorpion_pink_drybag,			*,		3000,	1500
		vg7_scorpion_jacket_pink,			*,		3000,	1500
		vg7_scorpion_jacket,			    *,		3000,	1500
		vg7_scorpion_helmet_pink,			*,		3000,	1500
		vg7_scorpion_helmet,			    *,		3000,	1500


// --------------------------------------------------
<Trader>  Clothing Trader  8//8

	<Category> Glasses
		SportGlasses_Orange,	*,		217,		100
		SportGlasses_Blue,		*,		218,		100
		SportGlasses_Black,		*,		220,		100
		SportGlasses_Green,		*,		220,		100
		ThinFramesGlasses,		*,		220,		100
		ThickFramesGlasses,		*,		223,		100
		DesignerGlasses,		*,		230,		100
		AviatorGlasses,			*,		240,		100
		TacticalGoggles,		*,		260,		100
		NVGHeadstrap,			*,		500,	    200
		
	<Category> Armbands
		Armband_Pink,			*,		15,		5
		Armband_Yellow,			*,		15,		5
		Armband_Orange,			*,		15,		5
		Armband_Red,			*,		15,		5
		Armband_Blue,			*,		15,		5
		Armband_White,			*,		15,		5
		Armband_Black,			*,		15,		5
		Armband_Green,			*,		15,		5
		Armband_Crook,			*,		15,		5
		Armband_Rex,			*,		15,		5
		Armband_Zagorky,		*,		15,		5
		
	<Category> Gloves
		SurgicalGloves_LightBlue,*,		-50,	 60
		SurgicalGloves_Blue,	*,		-50,	 60
		SurgicalGloves_White,	*,		-50,	 60
		SurgicalGloves_Green,	*,		-50,	 60
		WorkingGloves_Yellow,	*,		-25,	 60
		WorkingGloves_Beige,	*,		-30,	 60
		WorkingGloves_Brown,	*,		-30,	 60
		WorkingGloves_Black,	*,		-30,	 60
		TacticalGloves_Beige,	*,		-35,	 60
		TacticalGloves_Black,	*,		-35,	 60
		TacticalGloves_Green,	*,		-35,	 60
		OMNOGloves_Gray,		*,		-40,	 60
		OMNOGloves_Brown,		*,		-40,	 60
		NBCGlovesGray,			*,		-65,	 60
		NBCGlovesYellow,		*,		-65,	 60
		WoolGlovesFingerless_Black,	*,		-25,		60
		WoolGlovesFingerless_Green,	*,		-25,		60
		WoolGlovesFingerless_Tan,	*,		-25,		60
		WoolGlovesFingerless_White,	*,		-25,		60
		WoolGloves_Black,		     *,		-25,		60
		WoolGloves_Green,		   *,		-25,		60
		WoolGloves_Tan,			   *,		-25,		60
		WoolGloves_White,	    	*,		-25,		60
		WoolGloves_ChristmasBlue,		*,		-25,		60
		WoolGloves_ChristmasRed,		*,		-25,		60
		PaddedGloves_Beige,		*,		-25,		60
		PaddedGloves_Brown,		*,		-25,		60
		PaddedGloves_Threat,		*,		-25,		60
		
	<Category> Hats & Caps
		MedicalScrubsHat_Blue,	*,		-2,		10
		MedicalScrubsHat_White,	*,		-2,		10
		MedicalScrubsHat_Green,	*,		-2,		10
		------------------------------------------------------------, *, -1, -1	
		Bandana_Polkapattern,	*,		350,		52
		Bandana_Redpattern,		*,		350,		52
		Bandana_Blackpattern,	*,		350,		52
		Bandana_Greenpattern,	*,		350,		52
		Bandana_Camopattern,	*,		350,		52
	   ------------------------------------------------------------, *, -1, -1			
		BaseballCap_CMMG_Pink,	*,		120,		53
		BaseballCap_Pink,		*,		120,		53
		BaseballCap_Red,		*,		120,		53
		BaseballCap_Blue,		*,		120,		53
		BaseballCap_Beige,		*,		120,		53
		BaseballCap_CMMG_Black,	*,		120,		53
		BaseballCap_Black,		*,		130,		53
		BaseballCap_Olive,		*,		140,		54
		BaseballCap_Camo,		*,		500,		150
	   ------------------------------------------------------------, *, -1, -1			   
		PrisonerCap,			*,		50,		20
	   ------------------------------------------------------------, *, -1, -1			
		BoonieHat_Orange,		*,		350,		150
		BoonieHat_Red,			*,		350,		150
		BoonieHat_Blue,			*,		350,		150
		BoonieHat_NavyBlue,		*,		350,		150
		BoonieHat_Black,		*,		350,		150
		BoonieHat_Tan,			*,		350,		150
		BoonieHat_Olive,		*,		350,		150
		BoonieHat_DPM,			*,		650,		250
		BoonieHat_Dubok,		*,		650,		250
		BoonieHat_Flecktran,	*,		650,		250
		------------------------------------------------------------, *, -1, -1	
		CowboyHat_Brown,		*,		720,		300
		CowboyHat_darkBrown,	*,		720,		300
		CowboyHat_black,		*,		720,		300
		CowboyHat_green,		*,		720,		300
	   ------------------------------------------------------------, *, -1, -1			
		PilotkaCap,				*,		250,	70
		OKZKCap_Beige,			*,		825,	200
		OKZKCap_Green,			*,		825,	200
		OfficerHat,				*,		250,	70
		PoliceCap,				*,		250,	70
	   ------------------------------------------------------------, *, -1, -1			
		MilitaryBeret_ChDKZ,	*,		926,		200
		MilitaryBeret_Red,		*,		926,		200
		MilitaryBeret_UN,		*,		926,		200
		MilitaryBeret_CDF,		*,		927,		200
		MilitaryBeret_NZ,		*,		927,		200
	   ------------------------------------------------------------, *, -1, -1			
		BeanieHat_Pink,			*,		230,		80
		BeanieHat_Red,			*,		230,		80
		BeanieHat_Blue,			*,		230,		80
		BeanieHat_Grey,			*,		230,		80
		BeanieHat_Beige,		*,		230,		80
		BeanieHat_Brown,		*,		230,		80
		BeanieHat_Black,		*,		231,		80
		BeanieHat_Green,		*,		232,		90
	   ------------------------------------------------------------, *, -1, -1			
		FlatCap_Red,			*,		232,		80
		FlatCap_Blue,			*,		232,		80
		FlatCap_BrownCheck,		*,		232,		80
		FlatCap_GreyCheck,		*,		232,		80
		FlatCap_Grey,			*,		232,		80
		FlatCap_Brown,			*,		232,		80
		FlatCap_Black,			*,		232,		80
		FlatCap_BlackCheck,		*,		232,		80
	   ------------------------------------------------------------, *, -1, -1			
		ZmijovkaCap_Red,		*,		236,		99
		ZmijovkaCap_Blue,		*,		236,		99
		ZmijovkaCap_Brown,		*,		236,		99
		ZmijovkaCap_Black,		*,		237,		99
		ZmijovkaCap_Green,		*,		238,		99
	   ------------------------------------------------------------, *, -1, -1			
		RadarCap_Red,			*,		240,		89
		RadarCap_Blue,			*,		240,		89
		RadarCap_Brown,			*,		240,		89
		RadarCap_Black,			*,		242,		89
		RadarCap_Green,			*,		245,		89
	   ------------------------------------------------------------, *, -1, -1			
		Ushanka_Blue,			*,		350,		50
		Ushanka_Black,			*,		350,		50
		Ushanka_Green,			*,		355,		50
	   ------------------------------------------------------------, *, -1, -1			
		PetushokHat_Black,			*,		255,		88
		PetushokHat_Green,			*,		255,		88
		PetushokHat_Yellow,			*,		255,		88
	   ------------------------------------------------------------, *, -1, -1			
		//WinterCoif_Black,			*,		55,		18
		//WinterCoif_Blue,			*,		55,		18
		//WinterCoif_Green,			*,		55,		18
		//WinterCoif_Skull,			*,		55,		18
		NBCHoodGray,			*,		1400,	-100		
		NBCHoodYellow,			*,		1400,	-100

	<Category> Helmets
		ConstructionHelmet_Yellow,*,	-30,		70
		ConstructionHelmet_Orange,*,	-30,		70
		ConstructionHelmet_Red,	*,		-30,		70
		ConstructionHelmet_Blue,*,		-30,		70
		ConstructionHelmet_White,*,		-30,		70
		ConstructionHelmet_Lime,*,		-33,		80
	   ------------------------------------------------------------, *, -1, -1		
		SkateHelmet_Red,		*,		-45,		80
		SkateHelmet_Blue,		*,		-45,		80
		SkateHelmet_Gray,		*,		-45,		80
		SkateHelmet_Black,		*,		-47,		80
		SkateHelmet_Green,		*,		-50,		80
	   ------------------------------------------------------------, *, -1, -1			
		HockeyHelmet_Red,		*,		-50,		70
		HockeyHelmet_Blue,		*,		-50,		70
		HockeyHelmet_White,		*,		-50,		70
		HockeyHelmet_Black,		*,		-55,		70
	   ------------------------------------------------------------, *, -1, -1			
		DirtBikeHelmet_Mouthguard,*,	-15,		40
		DirtBikeHelmet_Visor,	*,		-25,		80
		DirtBikeHelmet_Red,		*,		-60,		70
		DirtBikeHelmet_Blue,	*,		-60,		70
		DirtBikeHelmet_Police,	*,		-60,		70
		DirtBikeHelmet_Green,	*,		-60,		70
		DirtBikeHelmet_Chernarus,*,		-60,		70
		DirtBikeHelmet_Black,	*,		-65,		73
		DirtBikeHelmet_Khaki,	*,		-70,		76
	   ------------------------------------------------------------, *, -1, -1			
		MotoHelmet_Red,			*,		870,		300
		MotoHelmet_Blue,		*,		870,		300
		MotoHelmet_White,		*,		870,		300
		MotoHelmet_Lime,		*,		870,		300
		MotoHelmet_Grey,		*,		875,		300
		MotoHelmet_Black,		*,		875,		300
		MotoHelmet_Green,		*,		880,		300
		MotoHelmet_Yellow,		*,		880,		300
	   ------------------------------------------------------------, *, -1, -1			
		DarkMotoHelmet_Red,		*,		-80,		89
		DarkMotoHelmet_Blue,	*,		-80,		89
		DarkMotoHelmet_White,	*,		-80,		89
		DarkMotoHelmet_Lime,	*,		-80,		89
		DarkMotoHelmet_Grey,	*,		-80,		89
		DarkMotoHelmet_Black,	*,		-85,		89
		DarkMotoHelmet_Green,	*,		-90,		89
		DarkMotoHelmet_YellowScarred,	*,		1900,		-1
	   ------------------------------------------------------------, *, -1, -1			
		TankerHelmet,			*,		-100,	87
		ZSh3PilotHelmet,		*,		-130,	87
	   ------------------------------------------------------------, *, -1, -1			
		FirefightersHelmet_Yellow,*,	-150,	140
		FirefightersHelmet_Red,	*,		-150,	140
		FirefightersHelmet_White,*,		-150,	140
	   ------------------------------------------------------------, *, -1, -1			
		Mich2001Helmet,			*,		-150,	140
	   ------------------------------------------------------------, *, -1, -1			
		GorkaHelmetVisor,		*,		-50,	120
		GorkaHelmet,			*,		-190,	150
	   ------------------------------------------------------------, *, -1, -1			
		Ssh68Helmet,			*,		-250,	180
	   ------------------------------------------------------------, *, -1, -1			
		BallisticHelmet_UN,		*,		650,	200
		BallisticHelmet_Black,	*,		600,	200
		BallisticHelmet_Green,	*,		650,	200
		BallisticHelmet_BDU,	*,		1600,	200
		BallisticHelmet_Desert,	*,		1600,	200
		BallisticHelmet_Woodland,	*,	1600,	200
			
		<Category> Knights Clothing
		Chainmail,				*,		8250,	-80
		Chainmail_Coif,			*,		8250,	-80
		Chainmail_Leggings,		*,		8250,	-80
		Chestplate,				*,		8250,	-80
		GreatHelm,				*,		8120,	-30
		NorseHelm,				*,		8120,	-30
		MedievalBoots,			*,		525,	-6
		//WitchHood_Chainmail_Black,			*,		250,	80
		//WitchHood_Chainmail_Brown,			*,		250,	80
		//WitchHood_Chainmail_Red,			*,		250,	80
		

	<Category> Masks
		SurgicalMask,			*,		150,	-3
	   ------------------------------------------------------------, *, -1, -1			
		//BandanaMask_PolkaPattern,*,		25,		6
		//BandanaMask_RedPattern,	*,		25,		6
		
		EyeMask_NewYears,*,		25,		6
		EyeMask_Red,	*,		25,		6
		EyeMask_Valentines,*,	25,		6
		EyeMask_Yellow,	*,		25,		6
		EyeMask_Black,*,		25,		6
		EyeMask_Blue,	*,		25,		6
		EyeMask_Christmas,*,	25,		6
		EyeMask_Dead,	*,		25,		6
	   ------------------------------------------------------------, *, -1, -1			
		MimeMask_Female,	*,	    150,		-12
		MimeMask_Male,	    *,		150,		-12
	   ------------------------------------------------------------, *, -1, -1			
		//BandanaMask_BlackPattern,*,		25,		6
		//BandanaMask_GreenPattern,*,		30,		8
		//BandanaMask_CamoPattern,*,		35,		10
		
		NioshFaceMask,			*,		40,		-10
		HockeyMask,				*,		-40,	60
		//HoxtonMask,			*,		40,		10
		//WolfMask,				*,		40,		10
		//DallasMask,			*,		40,		10
	   ------------------------------------------------------------, *, -1, -1		
		Balaclava3Holes_Blue,	*,		150,	50
		Balaclava3Holes_Beige,	*,		150,	50
		Balaclava3Holes_Black,	*,		155,	55
		Balaclava3Holes_Green,	*,		160,	60
	   ------------------------------------------------------------, *, -1, -1		
		WeldingMask,			*,		570,   150
		
		GP5GasMask,				*,		850,	100
		AirborneMask,			*,		1120,	40
		GasMask_Filter,			*,		89,		40

	<Category> Shirts
		TShirt_OrangeWhiteStripes,*,	-8,		82
		TShirt_RedBlackStripes,	*,		-8,		82
		TShirt_Red,				*,		-8,		82
		TShirt_Blue,			*,		-8,		82
		TShirt_White,			*,		-10,		82
		TShirt_Grey,			*,		-10,		82
		TShirt_Beige,			*,		-10,		82
		TShirt_Black,			*,		-12,		83
		TShirt_Green,			*,		-12,		83
		TelnyashkaShirt,		*,		-14,		83
		Shirt_RedCheck,			*,		-16,		84
		Shirt_BlueCheckBright,	*,		-16,		84	
		Shirt_BlueCheck,		*,		-16,		84
		Shirt_WhiteCheck,		*,		-16,		84
		Shirt_PlaneBlack,		*,		-17,		84
		Shirt_GreenCheck,		*,		-18,		84
		Blouse_Violet,			*,		-16,		84
		Blouse_Blue,			*,		-16,		84
		Blouse_White,			*,		-16,		84
		Blouse_Green,			*,		-18,		84
		MedicalScrubsShirt_Blue,*,		-420,		95
		MedicalScrubsShirt_White,*,		-420,		95
		MedicalScrubsShirt_Green,*,		-420,		95
		ChernarusSportShirt,	*,		-25,		86
		
		TacticalShirt_Grey,		*,		436,		110
		TacticalShirt_Tan,		*,		437,		110
		TacticalShirt_Black,	*,		438,		110
		TacticalShirt_Olive,	*,		440,		120	
		
		Tshirt_10thAnniversary,	*,		540,		150

	<Category> Hoodies & Sweater
		Sweater_Red,			*,		420,		150
		Sweater_Blue,			*,		420,		150
		Sweater_Gray,			*,		420,		150
		Sweater_Green,			*,		425,		160
		//Hoodie_DrJ0nes,		*,		30,		    160
		//Hoodie_GraffitiTiles,	*,		30,		    160
		Hoodie_Red,				*,		430,		160
		Hoodie_Blue,			*,		430,		160
		Hoodie_Grey,			*,		430,		160
		Hoodie_Brown,			*,		430,		160
		Hoodie_Black,			*,		430,		160
		Hoodie_Green,			*,		435,		170
		
	<Category> Vests
		ReflexVest,				*,		95,		    30
		PoliceVest,				*,		2135,		310
		HuntingVest,			*,		2155,		318
		PressVest_LightBlue,	*,		2185,		328
		PressVest_Blue,			*,		2190,		330
		UKAssVest_Black,		*,		2190,		330
		UKAssVest_Khaki,		*,		2190,		330
		UKAssVest_Olive,		*,		2190,		330
		UKAssVest_Camo,			*,		2100,	    350
		
		SmershVest,				*,		2150,	    250
		
		HighCapacityVest_Black,	*,		2200,	    260
		HighCapacityVest_Olive,	*,		2230,	   275
		
		PlateCarrierVest,		    *,		2250,	280
		PlateCarrierVest_Black,		*,		2250,	280
		PlateCarrierVest_Camo,		*,		2250,	280
		PlateCarrierVest_Green,		*,		2250,	280

	<Category> Jackets & Coats
		LabCoat,				*,		-10,	20
	   ------------------------------------------------------------, *, -1, -1			
		TrackSuitJacket_Red,	*,		615,		203
		TrackSuitJacket_LightBlue,*,	615,		203
		TrackSuitJacket_Blue,	*,		615,		203
		TrackSuitJacket_Black,	*,		615,		203
		TrackSuitJacket_Green,	*,		615,		203
	   ------------------------------------------------------------, *, -1, -1			
		DenimJacket,			*,		818,		300
	   ------------------------------------------------------------, *, -1, -1			
		ManSuit_Blue,			*,		-18,		114
		ManSuit_White,			*,		-18,		114
		ManSuit_LightGrey,		*,		-18,		114
		ManSuit_DarkGrey,		*,		-18,		114
		ManSuit_Beige,			*,		-18,		114
		ManSuit_Brown,			*,		-18,		114
		ManSuit_Black,			*,		-18,		114
		ManSuit_Khaki,			*,		-18,		114
	   ------------------------------------------------------------, *, -1, -1			
		WomanSuit_Blue,			*,		-18,		114
		WomanSuit_White,		*,		-18,		114
		WomanSuit_LightGrey,	*,		-18,		114
		WomanSuit_DarkGrey,		*,		-18,		114
		WomanSuit_Beige,		*,		-18,		114
		WomanSuit_Brown,		*,		-18,		114
		WomanSuit_Black,		*,		-18,		114
		WomanSuit_Khaki,		*,		-18,		114
	   ------------------------------------------------------------, *, -1, -1			
		WoolCoat_Red,			*,		-18,		114
		WoolCoat_RedCheck,		*,		-18,		114
		WoolCoat_Blue,			*,		-18,		114
		WoolCoat_BlueCheck,		*,		-18,		114
		WoolCoat_GreyCheck,		*,		-18,		114
		WoolCoat_BrownCheck,	*,		-18,		114
		WoolCoat_Beige,			*,		-18,		114
		WoolCoat_Black,			*,		-19,		114
		WoolCoat_BlackCheck,	*,		-19,		114
		WoolCoat_Green,			*,		-20,		115
	   ------------------------------------------------------------, *, -1, -1			
		RidersJacket_Black,		*,		1800,		-2
	   ------------------------------------------------------------, *, -1, -1			
		FirefighterJacket_Beige,*,		-24,		160
		FirefighterJacket_Black,*,		-24,		160
	   ------------------------------------------------------------, *, -1, -1			
		JumpsuitJacket_Red,		*,		226,		60
		JumpsuitJacket_Blue,	*,		226,		60
		JumpsuitJacket_Gray,	*,		226,		60
		JumpsuitJacket_Green,	*,		226,		60
	   ------------------------------------------------------------, *, -1, -1			
		BomberJacket_Maroon,	*,		626,		361
		BomberJacket_SkyBlue,	*,		626,		361
		BomberJacket_Blue,		*,		626,		361
		BomberJacket_Grey,		*,		626,		361
		BomberJacket_Brown,		*,		626,		361
		BomberJacket_Black,		*,		628,		371
		BomberJacket_Olive,		*,		630,		371
	   ------------------------------------------------------------, *, -1, -1			
		QuiltedJacket_Orange,	*,		526,		250
		QuiltedJacket_Yellow,	*,		526,		250
		QuiltedJacket_Red,		*,		526,		250
		QuiltedJacket_Violet,	*,		526,		250
		QuiltedJacket_Blue,		*,		526,		250
		QuiltedJacket_Grey,		*,		526,		250
		QuiltedJacket_Black,	*,		528,		250
		QuiltedJacket_Green,	*,		530,		250
	   ------------------------------------------------------------, *, -1, -1			
		PrisonUniformJacket,	*,		128,		-7
	   ------------------------------------------------------------, *, -1, -1			
		PoliceJacketOrel,		*,		-32,		80
		PoliceJacket,			*,		-34,		80
	   ------------------------------------------------------------, *, -1, -1			
		ParamedicJacket_Crimson,*,		-36,		90
		ParamedicJacket_Blue,	*,		-36,		90
		ParamedicJacket_Green,	*,		-36,		90
	   ------------------------------------------------------------, *, -1, -1			
		HikingJacket_Red,		*,		436,	   200
		HikingJacket_Blue,		*,		438,	   200
		HikingJacket_Black,		*,		438,	   200
		HikingJacket_Green,		*,		440,	   200
	   ------------------------------------------------------------, *, -1, -1			
		Raincoat_Pink,			*,		270,		100
		Raincoat_Orange,		*,		270,		100
		Raincoat_Yellow,		*,		270,		100
		Raincoat_Red,			*,		270,		100
		Raincoat_Blue,			*,		270,		100
		Raincoat_Black,			*,		280,		100
		Raincoat_Green,			*,		210,	    100
	   ------------------------------------------------------------, *, -1, -1			
		TTsKOJacket_Camo,		*,		2100,	250
	   ------------------------------------------------------------, *, -1, -1			
		BDUJacket,				*,		2100,	250
	   ------------------------------------------------------------, *, -1, -1			
		HuntingJacket_Winter,	*,		3120,	350
		HuntingJacket_Brown,	*,		3120,	350
		HuntingJacket_Autumn,	*,		3120,	350
		HuntingJacket_Spring,	*,		3120,	350
		HuntingJacket_Summer,	*,		3120,	350
	   ------------------------------------------------------------, *, -1, -1			
		M65Jacket_Tan,			*,		3130,	400
		M65Jacket_Black,		*,		3130,	400
		M65Jacket_Khaki,		*,		3130,	400
		M65Jacket_Olive,		*,		3130,	400
		
		GorkaEJacket_Autumn,	*,		3140,	453
		GorkaEJacket_Flat,		*,		3140,	453
		GorkaEJacket_PautRev,	*,		3140,	453
		GorkaEJacket_Summer,	*,		3140,	453
		
		USMCJacket_Desert,		*,		3140,	450
		USMCJacket_Woodland,	*,		3155,	550
		
		NBCJacketGray,			*,		1250,	-80
		NBCJacketYellow,		*,		1250,	-80

	<Category> Skirts & Dresses
		Skirt_Yellow,			*,		-30,	80
		Skirt_Red,				*,		-30,	80
		Skirt_Blue,				*,		-30,	80
		Skirt_White,			*,		-30,	80
		MiniDress_Pink,			*,		-35,	80
		MiniDress_PinkChecker,	*,		-35,	80
		MiniDress_RedChecker,	*,		-35,	80
		MiniDress_BlueChecker,	*,		-35,	80
		MiniDress_BlueWithDots,	*,		-35,	80
		MiniDress_WhiteChecker,	*,		-35,	80
		MiniDress_BrownChecker,	*,		-35,	80
		MiniDress_GreenChecker,	*,		-35,	80
		NurseDress_Blue,		*,		-40,	80
		NurseDress_White,		*,		-40,	80

	<Category> Pants
		MedicalScrubsPants_Blue,*,		-10,		20
		MedicalScrubsPants_White,*,		-10,		20
		MedicalScrubsPants_Green,*,		-10,		20
	   ------------------------------------------------------------, *, -1, -1			
		TrackSuitPants_Red,		*,		315,		163
		TrackSuitPants_LightBlue,*,		315,		163
		TrackSuitPants_Blue,	*,		315,		163
		TrackSuitPants_Black,	*,		315,		163
		TrackSuitPants_Green,	*,		315,		163
	   ------------------------------------------------------------, *, -1, -1			
		PrisonUniformPants,		*,		170,		-4
	   ------------------------------------------------------------, *, -1, -1			
		Breeches_Pink,			*,		-20,		85
		Breeches_Red,			*,		-20,		85
		Breeches_Blue,			*,		-20,		85
		Breeches_White,			*,		-20,		85
		Breeches_Beetcheck,		*,		-20,		85
		Breeches_Beige,			*,		-21,		85
		Breeches_Browncheck,	*,		-21,		85
		Breeches_Black,			*,		-22,		85
		Breeches_Blackcheck,	*,		-22,		85
		Breeches_Green,			*,		-24,		86
		
		SlacksPants_Blue,		*,		-20,		85
		SlacksPants_White,		*,		-20,		85
		SlacksPants_LightGrey,	*,		-20,		85
		SlacksPants_DarkGrey,	*,		-20,		85
		SlacksPants_Beige,		*,		-20,		85
		SlacksPants_Brown,		*,		-21,		85
		SlacksPants_Black,		*,		-22,		85
		SlacksPants_Khaki,		*,		-24,		86
		
		CanvasPantsMidi_Red,	*,		-24,		86
		CanvasPantsMidi_Violet,	*,		-24,		86
		CanvasPantsMidi_Blue,	*,		-24,		86
		CanvasPantsMidi_Grey,	*,		-24,		86
		CanvasPantsMidi_Beige,	*,		-25,		86	
		CanvasPants_Red,		*,		-26,		86
		CanvasPants_Violet,		*,		-26,		86
		CanvasPants_Blue,		*,		-26,		86
		CanvasPants_Grey,		*,		-26,		86
		CanvasPants_Beige,		*,		-28,		86
		
		JumpsuitPants_Red,		*,		428,		186
		JumpsuitPants_Blue,		*,		428,		186
		JumpsuitPants_Grey,		*,		428,		186
		JumpsuitPants_Green,	*,		428,		186
	   ------------------------------------------------------------, *, -1, -1			
		PolicePants,			*,		-28,		86
	   ------------------------------------------------------------, *, -1, -1			
		ParamedicPants_Crimson,	*,		-35,		83
		ParamedicPants_Blue,	*,		-35,		83
		ParamedicPants_Green,	*,		-35,		83
		
		FirefightersPants_Beige,*,		-35,		83
		FirefightersPants_Black,*,		-35,		83
	   ------------------------------------------------------------, *, -1, -1			
		CargoPants_Blue,		*,		535,		200
		CargoPants_Grey,		*,		535,		200
		CargoPants_Beige,		*,		535,		200
		CargoPants_Black,		*,		535,		200
		CargoPants_Green,		*,		535,		200
	   ------------------------------------------------------------, *, -1, -1			
		ShortJeans_Red,			*,		638,		250
		ShortJeans_Blue,		*,		638,		250
		ShortJeans_Darkblue,	*,		638,		250
		ShortJeans_Brown,		*,		638,		250
		ShortJeans_Black,		*,		640,		250
		ShortJeans_Green,		*,		642,		250
	   ------------------------------------------------------------, *, -1, -1			
		Jeans_Blue,				*,		540,		250
		Jeans_BlueDark,			*,		540,		250
		Jeans_Grey,				*,		540,		250
		Jeans_Brown,			*,		540,		250
		Jeans_Black,			*,		542,		250
		Jeans_Green,			*,		545,		250
		
		TTSKOPants,				*,		1555,		300
		
		BDUPants,				*,		1565,		300
		
		USMCPants_Desert,		*,		1265,		300
		USMCPants_Woodland,		*,		1370,		300
		
		PolicePantsOrel,		*,		-70,		120
		
		HunterPants_Winter,		*,		500,	200
		HunterPants_Brown,		*,		800,	250
		HunterPants_Spring,		*,		800,	250
		HunterPants_Autumn,		*,		800,	250
		HunterPants_Summer,		*,		800,	250
		
		GorkaPants_Flat,		*,		1130,	200
		GorkaPants_PautRev,		*,		1130,	200
		GorkaPants_Autumn,		*,		1130,	200
		GorkaPants_Summer,		*,		1130,	200
		
		NBCPantsGray,			*,		1200,	-65
		NBCPantsYellow,			*,		1200,	-65
	
	<Category> Shoes & Boots
		AthleticShoes_Blue,		*,		217,	100
		AthleticShoes_Grey,		*,		220,	100
		AthleticShoes_Brown,	*,		220,	100
		AthleticShoes_Black,	*,		223,	100
		AthleticShoes_Green,	*,		223,	100
		JoggingShoes_Violet,	*,		230,	100
		JoggingShoes_Red,		*,		230,	100
		JoggingShoes_Blue,		*,		230,	100
		JoggingShoes_White,		*,		230,	100
		JoggingShoes_Black,		*,		230,	100
		Sneakers_Red,			*,		230,	100
		Sneakers_White,			*,		230,	100
		Sneakers_Gray,			*,		230,	100
		Sneakers_Black,			*,		231,	100
		Sneakers_Green,			*,		232,	100
		DressShoes_White,		*,		232,	100
		DressShoes_Brown,		*,		235,	100
		DressShoes_Black,		*,		235,	100
		DressShoes_Beige,		*,		235,	100
		DressShoes_Sunburst,	*,		235,	100
		HikingBootsLow_Blue,	*,		245,	100
		HikingBootsLow_Grey,	*,		245,	100
		HikingBootsLow_Beige,	*,		248,	100
